avg_distance,avg_duration,avg_revenue,hour,trip_count,pickup_hour,avg_distance_miles,avg_duration_min
4.19,14.2,26.28,0.0,2186754,,,
3.74,13.0,24.11,1.0,1445936,,,
3.47,12.3,22.82,2.0,950534,,,
3.72,12.3,23.75,3.0,614457,,,
5.16,14.0,29.81,4.0,388182,,,
6.4,15.4,34.36,5.0,429399,,,
5.08,15.2,28.34,6.0,1065035,,,
3.89,15.2,24.71,7.0,2061116,,,
3.41,15.6,23.86,8.0,2826388,,,
3.28,15.6,23.75,9.0,3248943,,,
3.26,15.9,23.82,10.0,3602916,,,
3.22,16.4,24.02,11.0,3922887,,,
3.31,16.8,24.45,12.0,4245034,,,
3.5,17.4,25.23,13.0,4354087,,,
3.65,18.5,26.11,14.0,4678124,,,
3.66,19.0,26.15,15.0,4807270,,,
3.63,18.9,27.58,16.0,4794679,,,
3.35,17.7,26.21,17.0,5222561,,,
3.14,15.8,24.79,18.0,5492127,,,
3.33,14.9,24.79,19.0,4981927,,,
3.56,14.6,24.84,20.0,4408406,,,
3.69,14.4,25.17,21.0,4322593,,,
3.92,14.8,26.0,22.0,3975931,,,
4.25,15.0,27.09,23.0,3163726,,,
,,25.79,,1998632,0.0,4.1,14.09
,,23.66,,1321565,1.0,3.66,12.89
,,22.4,,870302,2.0,3.4,12.14
,,23.43,,564797,3.0,3.67,12.26
,,29.73,,361707,4.0,5.16,14.04
,,33.97,,408310,5.0,6.32,15.28
,,27.84,,1020694,6.0,4.96,14.97
,,24.37,,1972941,7.0,3.81,15.02
,,23.61,,2697580,8.0,3.36,15.54
,,23.53,,3090095,9.0,3.23,15.53
,,23.61,,3413053,10.0,3.21,15.85
,,23.86,,3708241,11.0,3.19,16.4
,,24.3,,4007934,12.0,3.28,16.82
,,25.07,,4107593,13.0,3.46,17.43
,,25.94,,4397795,14.0,3.62,18.54
,,25.95,,4503870,15.0,3.63,19.02
,,27.38,,4484290,16.0,3.59,18.92
,,25.99,,4869454,17.0,3.3,17.64
,,24.56,,5108888,18.0,3.1,15.81
,,24.51,,4613762,19.0,3.28,14.83
,,24.51,,4061681,20.0,3.5,14.51
,,24.81,,3976309,21.0,3.62,14.35
,,25.6,,3648069,22.0,3.84,14.74
,,26.62,,2897109,23.0,4.16,14.91
