location_id,pickup_zone,borough,is_airport,trip_count,total_revenue,avg_fare,avg_tip_pct,avg_distance_miles,avg_duration_min
132,JFK Airport,Queens,True,3655006,263764648.81,56.01,16.71,16.27,42.03
138,LaGuardia Airport,Queens,True,2298421,132836733.08,38.3,21.27,9.77,30.28
161,Midtown Center,Manhattan,False,3161427,70065256.08,14.55,21.21,2.5,14.92
237,Upper East Side South,Manhattan,False,3460576,62816543.87,11.5,22.24,1.86,11.83
230,Times Sq/Theatre District,Manhattan,False,2339744,58535413.36,16.89,20.3,3.24,16.5
236,Upper East Side North,Manhattan,False,3053077,57380457.82,12.05,22.31,2.05,12.28
186,Penn Station/Madison Sq West,Manhattan,False,2473220,54536364.38,14.86,20.36,2.43,16.15
162,Midtown East,Manhattan,False,2516040,53882709.35,13.98,21.58,2.44,14.03
170,Murray Hill,Manhattan,False,2203380,46514329.79,13.8,21.38,2.42,13.86
142,Lincoln Square East,Manhattan,False,2398340,47031224.05,12.65,22.07,2.28,12.72
163,Midtown North,Manhattan,False,2105468,45906673.02,14.37,21.68,2.54,14.61
48,Clinton East,Manhattan,False,2071315,43994416.32,14.09,21.62,2.68,13.82
68,East Chelsea,Manhattan,False,1858157,41665946.33,15.02,21.37,2.59,15.86
239,Upper West Side South,Manhattan,False,2029724,39757468.98,12.62,22.59,2.31,12.5
234,Union Sq,Manhattan,False,1944063,39052248.44,12.98,22.03,2.17,13.77
79,East Village,Manhattan,False,1773714,36422464.67,13.48,21.68,2.59,13.35
164,Midtown South,Manhattan,False,1654627,36021811.2,14.29,21.66,2.53,14.4
141,Lenox Hill West,Manhattan,False,1813021,33507801.46,11.85,21.82,2.12,11.79
249,West Village,Manhattan,False,1563712,32397318.17,13.52,22.57,2.43,13.9
107,Gramercy,Manhattan,False,1620735,32185738.0,12.86,21.78,2.31,13.06
264,N/A,Unknown,False,740440,22858348.48,21.72,19.55,5.25,19.61
140,Lenox Hill East,Manhattan,False,1443866,29285979.12,13.41,21.0,2.49,13.26
229,Sutton Place/Turtle Bay North,Manhattan,False,1460605,27935478.19,12.36,21.53,2.2,12.49
263,Yorkville West,Manhattan,False,1450131,27556045.1,12.23,22.16,2.37,11.62
238,Upper West Side North,Manhattan,False,1433755,27611226.16,12.64,21.55,2.36,12.44
100,Garment District,Manhattan,False,1205278,26512365.71,14.77,19.49,2.59,15.02
246,West Chelsea/Hudson Yards,Manhattan,False,1144683,24946993.12,14.47,20.75,2.48,15.15
43,Central Park,Manhattan,False,1229732,24887878.93,13.42,20.87,2.3,14.07
90,Flatiron,Manhattan,False,1204006,24405280.91,13.16,22.35,2.29,13.64
231,TriBeCa/Civic Center,Manhattan,False,985020,23483472.67,16.35,20.73,3.25,16.23
233,UN/Turtle Bay South,Manhattan,False,923738,20376008.56,14.54,20.79,2.73,14.0
113,Greenwich Village North,Manhattan,False,971127,19757446.16,13.27,22.04,2.25,14.12
114,Greenwich Village South,Manhattan,False,917028,19210298.05,13.76,21.86,2.5,14.02
262,Yorkville East,Manhattan,False,943508,18850846.74,13.03,21.48,2.53,12.19
70,East Elmhurst,Queens,False,307260,16978284.44,37.78,19.35,9.67,29.8
148,Lower East Side,Manhattan,False,718765,16484822.72,15.56,21.33,3.12,14.79
137,Kips Bay,Manhattan,False,828116,16217446.4,12.8,20.56,2.4,12.7
143,Lincoln Square West,Manhattan,False,803121,15212321.66,12.27,21.59,2.24,12.36
144,Little Italy/NoLiTa,Manhattan,False,614410,13596614.66,14.95,20.96,2.69,15.65
